field,title,link,desc
Platforms,Node.js,https://github.com/sindresorhus/awesome-nodejs#readme,Async non-blocking event-driven JavaScript runtime built on Chrome's V8 JavaScript engine.
Platforms,Frontend Development,https://github.com/dypsilon/frontend-dev-bookmarks#readme,Frontend Development
Platforms,iOS,https://github.com/vsouza/awesome-ios#readme,Mobile operating system for Apple phones and tablets.
Platforms,Android,https://github.com/JStumpp/awesome-android#readme,Mobile operating system developed by Google.
Platforms,IoT & Hybrid Apps,https://github.com/weblancaster/awesome-IoT-hybrid#readme,IoT & Hybrid Apps
Platforms,Electron,https://github.com/sindresorhus/awesome-electron#readme,Cross-platform native desktop apps using JavaScript/HTML/CSS.
Platforms,Cordova,https://github.com/busterc/awesome-cordova#readme,JavaScript API for hybrid apps.
Platforms,React Native,https://github.com/jondot/awesome-react-native#readme,JavaScript framework for writing natively rendering mobile apps for iOS and Android.
Platforms,Xamarin,https://github.com/XamSome/awesome-xamarin#readme,"Mobile app development IDE, testing, and distribution."
Platforms,Linux,https://github.com/inputsh/awesome-linux#readme,Linux
Platforms,watchOS,https://github.com/yenchenlin/awesome-watchos#readme,Operating system for the Apple Watch.
Platforms,JVM,https://github.com/deephacks/awesome-jvm#readme,JVM
Platforms,Salesforce,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce
Platforms,Amazon Web Services,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services
Platforms,Windows,https://github.com/Awesome-Windows/Awesome#readme,Windows
Platforms,IPFS,https://github.com/ipfs/awesome-ipfs#readme,P2P hypermedia protocol.
Platforms,Fuse,https://github.com/fuse-compound/awesome-fuse#readme,Mobile development tools.
Platforms,Heroku,https://github.com/ianstormtaylor/awesome-heroku#readme,Cloud platform as a service.
Platforms,Raspberry Pi,https://github.com/thibmaek/awesome-raspberry-pi#readme,"Credit card-sized computer aimed at teaching kids programming, but capable of a lot more."
Platforms,Qt,https://github.com/JesseTG/awesome-qt#readme,Cross-platform GUI app framework.
Platforms,WebExtensions,https://github.com/fregante/Awesome-WebExtensions#readme,Cross-browser extension system.
Platforms,Smart TV,https://github.com/vitalets/awesome-smart-tv#readme,Create apps for different TV platforms.
Platforms,GNOME,https://github.com/Kazhnuz/awesome-gnome#readme,Simple and distraction-free desktop environment for Linux.
Platforms,KDE,https://github.com/francoism90/awesome-kde#readme,A free software community dedicated to creating an open and user-friendly computing experience.
Platforms,.NET,https://github.com/quozd/awesome-dotnet#readme,.NET
Platforms,Amazon Alexa,https://github.com/miguelmota/awesome-amazon-alexa#readme,Virtual home assistant.
Platforms,DigitalOcean,https://github.com/jonleibowitz/awesome-digitalocean#readme,Cloud computing platform designed for developers.
Platforms,Flutter,https://github.com/Solido/awesome-flutter#readme,Google's mobile SDK for building native iOS and Android apps from a single codebase written in Dart.
Platforms,Home Assistant,https://github.com/frenck/awesome-home-assistant#readme,Open source home automation that puts local control and privacy first.
Platforms,IBM Cloud,https://github.com/victorshinya/awesome-ibmcloud#readme,Cloud platform for developers and companies.
Platforms,Firebase,https://github.com/jthegedus/awesome-firebase#readme,App development platform built on Google Cloud Platform.
Platforms,Robot Operating System 2.0,https://github.com/fkromer/awesome-ros2#readme,Set of software libraries and tools that help you build robot apps.
Platforms,Adafruit IO,https://github.com/adafruit/awesome-adafruitio#readme,Visualize and store data from any device.
Platforms,Cloudflare,https://github.com/irazasyed/awesome-cloudflare#readme,"CDN, DNS, DDoS protection, and security for your site."
Platforms,Actions on Google,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Developer platform for Google Assistant.
Platforms,ESP,https://github.com/agucova/awesome-esp#readme,Low-cost microcontrollers with WiFi and broad IoT applications.
Platforms,Deno,https://github.com/denolib/awesome-deno#readme,A secure runtime for JavaScript and TypeScript that uses V8 and is built in Rust.
Platforms,DOS,https://github.com/balintkissdev/awesome-dos#readme,Operating system for x86-based personal computers that was popular during the 1980s and early 1990s.
Platforms,Nix,https://github.com/nix-community/awesome-nix#readme,Package manager for Linux and other Unix systems that makes package management reliable and reproducible.
Platforms,Integration,https://github.com/stn1slv/awesome-integration#readme,Linking together different IT systems (components) to functionally cooperate as a whole.
